epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.439,0.32342,0.51935,1.059,0.88283,0.85173,0.93759,0.71752,0.71444,0.94024,1.08925,0.000664992,0.000664992,0.000664992
2,317.847,0.29746,0.31823,1.03526,0.69165,0.7754,0.70181,0.2828,1.70359,1.55044,1.72732,0.00130529,0.00130529,0.00130529
3,463.717,0.28599,0.28699,1.02426,0.97833,0.99066,0.9939,0.95612,0.33885,0.35534,0.6026,0.00191919,0.00191919,0.00191919
4,608.708,0.25203,0.24968,1.00908,0.91382,0.96485,0.97916,0.8886,0.40954,0.47995,0.70685,0.0018812,0.0018812,0.0018812
5,753.416,0.23201,0.22407,0.99574,0.97254,0.99194,0.99351,0.95893,0.33801,0.43351,0.61618,0.0018416,0.0018416,0.0018416
6,898.888,0.2261,0.21418,0.99211,0.97779,0.98517,0.9936,0.94492,0.36045,0.30088,0.62618,0.001802,0.001802,0.001802
7,1043.79,0.21245,0.20325,0.98206,0.95754,0.98682,0.99167,0.95125,0.32312,0.3319,0.56955,0.0017624,0.0017624,0.0017624
8,1190.04,0.20316,0.19362,0.97788,0.97983,0.99506,0.9942,0.97142,0.29028,0.27823,0.54006,0.0017228,0.0017228,0.0017228
9,1335.85,0.19705,0.18989,0.97735,0.98923,0.99176,0.99467,0.9264,0.30104,0.48833,0.55842,0.0016832,0.0016832,0.0016832
10,1481.23,0.18998,0.18042,0.97323,0.98801,0.99945,0.99436,0.96898,0.30018,0.29276,0.56666,0.0016436,0.0016436,0.0016436
11,1627.69,0.18442,0.17487,0.97122,0.9887,0.99671,0.99433,0.96633,0.34267,0.28753,0.58728,0.001604,0.001604,0.001604
12,1770.9,0.18028,0.1766,0.96623,0.98643,0.9989,0.99421,0.97287,0.2463,0.26822,0.4883,0.0015644,0.0015644,0.0015644
13,1914.89,0.17939,0.17304,0.96468,0.99062,0.98585,0.99461,0.97087,0.30384,0.33264,0.56807,0.0015248,0.0015248,0.0015248
14,2060.02,0.17919,0.16861,0.96496,0.99146,0.99835,0.99463,0.97072,0.32775,0.27079,0.54567,0.0014852,0.0014852,0.0014852
15,2204.17,0.17124,0.1619,0.96215,0.98926,0.99835,0.99472,0.97784,0.2697,0.34948,0.49397,0.0014456,0.0014456,0.0014456
16,2347.62,0.16922,0.15928,0.96062,0.98908,0.99945,0.99456,0.97646,0.25422,0.23566,0.47622,0.001406,0.001406,0.001406
17,2491.76,0.16571,0.15462,0.96002,0.99188,0.99725,0.99462,0.97677,0.2678,0.24378,0.49318,0.0013664,0.0013664,0.0013664
18,2635.97,0.1679,0.15636,0.95882,0.99397,0.9989,0.99481,0.97891,0.29164,0.26631,0.51324,0.0013268,0.0013268,0.0013268
