epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.642,0.26762,1.03431,0.49396,0.35167,1.0181,0.98426,0.99576,0.99131,0.92427,0.96798,0.97948,0.96674,0.69691,0.40802,0.869,0.07252,0.48718,0.67586,0.000664992,0.000664992,0.000664992
2,550.583,0.19699,0.61751,0.34734,0.24028,0.94756,0.98073,0.98462,0.99435,0.96854,0.97985,0.98796,0.99325,0.81186,0.2357,0.5866,0.05942,0.4387,0.40616,0.00130529,0.00130529,0.00130529
3,807.004,0.17964,0.48446,0.29285,0.2226,0.93035,0.99888,0.99945,0.995,0.98607,0.99778,0.99835,0.99453,0.86434,0.27928,0.46588,0.02838,0.31607,0.45837,0.00191919,0.00191919,0.00191919
4,1065.02,0.15133,0.41828,0.25752,0.19771,0.92255,0.99343,0.99702,0.99482,0.99251,0.99289,0.99647,0.99357,0.89979,0.2176,0.38391,0.05927,0.31402,0.38116,0.0018812,0.0018812,0.0018812
5,1322.2,0.13529,0.34238,0.22466,0.17633,0.91305,0.99549,1,0.995,0.99498,0.99494,0.99945,0.99462,0.94146,0.25211,0.25153,0.01192,0.30125,0.43595,0.0018416,0.0018416,0.0018416
6,1575.86,0.11868,0.30272,0.20174,0.16168,0.90795,0.99917,0.9989,0.995,0.99478,0.99917,0.9989,0.99492,0.95326,0.22862,0.24034,0.03919,0.32323,0.38305,0.001802,0.001802,0.001802
7,1830.67,0.11076,0.28429,0.1888,0.15724,0.90404,0.99938,1,0.995,0.99427,0.99883,0.99945,0.99463,0.959,0.26577,0.19895,0.00863,0.46841,0.44465,0.0017624,0.0017624,0.0017624
8,2086.92,0.10786,0.25062,0.17258,0.15068,0.90304,0.99999,1,0.995,0.995,0.99944,0.99945,0.99476,0.95911,0.18911,0.21739,0.01089,0.29429,0.34381,0.0017228,0.0017228,0.0017228
9,2340.97,0.09934,0.24035,0.16737,0.14521,0.90258,0.99877,1,0.995,0.995,0.99823,0.99945,0.99456,0.95855,0.19893,0.20948,0.01777,0.31816,0.35725,0.0016832,0.0016832,0.0016832
10,2588.12,0.09199,0.23053,0.16052,0.13606,0.89981,0.9997,1,0.995,0.995,0.9986,0.9989,0.99403,0.97015,0.18049,0.17026,0.01007,0.32197,0.32575,0.0016436,0.0016436,0.0016436
11,2770.08,0.08896,0.21631,0.15851,0.13185,0.89929,0.99999,1,0.995,0.995,0.99944,0.99945,0.99498,0.97726,0.18792,0.16125,0.01662,0.32282,0.33802,0.001604,0.001604,0.001604
12,2943.25,0.08698,0.22033,0.15193,0.13297,0.89589,0.9999,1,0.995,0.995,0.99935,0.99945,0.99496,0.98065,0.1848,0.16211,0.01177,0.33575,0.33258,0.0015644,0.0015644,0.0015644
13,3118.88,0.08042,0.20382,0.14624,0.12324,0.89335,0.99919,1,0.995,0.99499,0.99864,0.99945,0.99486,0.97084,0.1825,0.17244,0.01502,0.27612,0.30808,0.0015248,0.0015248,0.0015248
14,3290.63,0.08207,0.19074,0.14108,0.12617,0.89436,0.99726,0.99884,0.995,0.99477,0.99726,0.99884,0.9945,0.96356,0.19336,0.17301,0.01229,0.27522,0.33627,0.0014852,0.0014852,0.0014852
15,3463.45,0.07964,0.18326,0.13428,0.124,0.89396,0.99997,1,0.995,0.995,0.99942,0.99945,0.99471,0.96601,0.18937,0.15026,0.0157,0.31827,0.33635,0.0014456,0.0014456,0.0014456
16,3635,0.07538,0.17582,0.13481,0.11848,0.89266,0.99996,1,0.995,0.995,0.99941,0.99945,0.99463,0.97553,0.16891,0.13619,0.0082,0.31348,0.32009,0.001406,0.001406,0.001406
17,3809.2,0.07206,0.16973,0.13304,0.11382,0.89273,1,0.99884,0.995,0.995,0.99945,0.99829,0.9949,0.97344,0.14671,0.1428,0.01756,0.27453,0.27071,0.0013664,0.0013664,0.0013664
18,3984,0.07189,0.15669,0.12759,0.1132,0.89155,0.99997,1,0.995,0.995,0.99942,0.99945,0.99462,0.97697,0.18971,0.12893,0.02212,0.26155,0.33855,0.0013268,0.0013268,0.0013268
