epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3121,0,0,0,174.081,0,0,0,0,0,0,0,0,0,0,0,0,4.20793,0,2e-05,2e-05,2e-05
2,48.3324,0,0,0,99.1951,0,0,0,0,0,0,0,0,0,0,0,0,1.50832,0,5.8812e-05,5.8812e-05,5.8812e-05
3,61.2585,0,0,0,14.9223,0,0,0,0,0,0,0,0,0,0,0,0,7.18604,0,9.604e-05,9.604e-05,9.604e-05
4,73.6487,0,0,0,3.09587,0,0,0,0,0,0,0,0,0,0,0,0,11.0823,0,0.000131684,0.000131684,0.000131684
5,85.6152,0,0,0,1.23266,0,0,0,0,0,0,0,0,0,0,0,0,2.49641,0,0.000165744,0.000165744,0.000165744
6,98.1254,0,0,0,0.59833,0,0,0,0,0,0,0,0,0,0,0,0,0.28493,0,0.00019822,0.00019822,0.00019822
7,114.544,0,0,0,0.28955,0,0,0,0,0,0,0,0,0,0,0,0,0.21567,0,0.000229112,0.000229112,0.000229112
8,127.152,0,0,0,0.1858,0,0,0,0,0,0,0,0,0,0,0,0,0.02177,0,0.00025842,0.00025842,0.00025842
9,139.147,0,0,0,0.13438,0,0,0,0,0,0,0,0,0,0,0,0,0.03029,0,0.000286144,0.000286144,0.000286144
10,150.997,0,0,0,0.11745,0,0,0,0,0,0,0,0,0,0,0,0,0.02709,0,0.000312284,0.000312284,0.000312284
11,162.875,0,0,0,0.10149,0,0,0,0,0,0,0,0,0,0,0,0,0.01053,0,0.00033684,0.00033684,0.00033684
12,174.653,0,0,0,0.0887,0,0,0,0,0,0,0,0,0,0,0,0,0.01319,0,0.000359812,0.000359812,0.000359812
13,187.28,0,0,0,0.07828,0,0,0,0,0,0,0,0,0,0,0,0,0.02049,0,0.0003812,0.0003812,0.0003812
14,199.781,0,0,0,0.06546,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0.000401004,0.000401004,0.000401004
15,212.08,0,0,0,0.06259,0,0,0,0,0,0,0,0,0,0,0,0,0.01308,0,0.000419224,0.000419224,0.000419224
16,224.41,0,0,0,0.06053,0,0,0,0,0,0,0,0,0,0,0,0,0.01181,0,0.00043586,0.00043586,0.00043586
17,236.906,0,0,0,0.05002,0,0,0,0,0,0,0,0,0,0,0,0,0.04568,0,0.000450912,0.000450912,0.000450912
18,248.943,0,0,0,0.03774,0,0,0,0,0,0,0,0,0,0,0,0,0.02862,0,0.00046438,0.00046438,0.00046438
19,261.887,0,0,0,0.03353,0,0,0,0,0,0,0,0,0,0,0,0,0.02804,0,0.000476264,0.000476264,0.000476264
20,274.738,0,0,0,0.02669,0,0,0,0,0,0,0,0,0,0,0,0,0.05684,0,0.000486564,0.000486564,0.000486564
21,287.139,0,0,0,0.02373,0,0,0,0,0,0,0,0,0,0,0,0,0.07914,0,0.00049528,0.00049528,0.00049528
22,299.724,0,0,0,0.02251,0,0,0,0,0,0,0,0,0,0,0,0,0.07624,0,0.000502412,0.000502412,0.000502412
23,312.264,0,0,0,0.0228,0,0,0,0,0,0,0,0,0,0,0,0,0.05196,0,0.00050796,0.00050796,0.00050796
24,324.429,0,0,0,0.01964,0,0,0,0,0,0,0,0,0,0,0,0,0.04806,0,0.000511924,0.000511924,0.000511924
25,336.688,0,0,0,0.01693,0,0,0,0,0,0,0,0,0,0,0,0,0.05823,0,0.000514304,0.000514304,0.000514304
26,349.179,0,0,0,0.01414,0,0,0,0,0,0,0,0,0,0,0,0,0.09306,0,0.0005151,0.0005151,0.0005151
27,364.256,0,0,0,0.01341,0,0,0,0,0,0,0,0,0,0,0,0,0.15774,0,0.000514312,0.000514312,0.000514312
28,378.152,0,0,0,0.01398,0,0,0,0,0,0,0,0,0,0,0,0,0.15774,0,0.00051194,0.00051194,0.00051194
29,393.74,0,0,0,0.01437,0,0,0,0,0,0,0,0,0,0,0,0,0.03769,0,0.000507984,0.000507984,0.000507984
30,408.985,0,0,0,0.01359,0,0,0,0,0,0,0,0,0,0,0,0,0.01314,0,0.000502444,0.000502444,0.000502444
31,423.051,0,0,0,0.01188,0,0,0,0,0,0,0,0,0,0,0,0,0.01314,0,0.00049532,0.00049532,0.00049532
32,439.164,0,0,0,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0.01069,0,0.000486612,0.000486612,0.000486612
33,454.168,0,0,0,0.01037,0,0,0,0,0,0,0,0,0,0,0,0,0.01004,0,0.00047632,0.00047632,0.00047632
34,470.856,0,0,0,0.00902,0,0,0,0,0,0,0,0,0,0,0,0,0.01004,0,0.000464444,0.000464444,0.000464444
