epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9189,0,0,0,174.081,0,0,0,0,0,0,0,0,0,0,0,0,4.20793,0,2e-05,2e-05,2e-05
2,32.2561,0,0,0,99.1951,0,0,0,0,0,0,0,0,0,0,0,0,1.50832,0,5.8812e-05,5.8812e-05,5.8812e-05
3,43.9156,0,0,0,14.9223,0,0,0,0,0,0,0,0,0,0,0,0,7.18604,0,9.604e-05,9.604e-05,9.604e-05
4,55.6976,0,0,0,3.09587,0,0,0,0,0,0,0,0,0,0,0,0,11.0823,0,0.000131684,0.000131684,0.000131684
5,67.876,0,0,0,1.23266,0,0,0,0,0,0,0,0,0,0,0,0,2.49641,0,0.000165744,0.000165744,0.000165744
6,81.5419,0,0,0,0.59833,0,0,0,0,0,0,0,0,0,0,0,0,0.28493,0,0.00019822,0.00019822,0.00019822
7,95.2949,0,0,0,0.28955,0,0,0,0,0,0,0,0,0,0,0,0,0.21567,0,0.000229112,0.000229112,0.000229112
8,106.838,0,0,0,0.1858,0,0,0,0,0,0,0,0,0,0,0,0,0.02177,0,0.00025842,0.00025842,0.00025842
9,119.057,0,0,0,0.13438,0,0,0,0,0,0,0,0,0,0,0,0,0.03029,0,0.000286144,0.000286144,0.000286144
10,131.586,0,0,0,0.11745,0,0,0,0,0,0,0,0,0,0,0,0,0.02709,0,0.000312284,0.000312284,0.000312284
11,143.45,0,0,0,0.10149,0,0,0,0,0,0,0,0,0,0,0,0,0.01053,0,0.00033684,0.00033684,0.00033684
12,155.353,0,0,0,0.0887,0,0,0,0,0,0,0,0,0,0,0,0,0.01319,0,0.000359812,0.000359812,0.000359812
13,168.332,0,0,0,0.07828,0,0,0,0,0,0,0,0,0,0,0,0,0.02049,0,0.0003812,0.0003812,0.0003812
14,180.283,0,0,0,0.06546,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0.000401004,0.000401004,0.000401004
15,193.194,0,0,0,0.06259,0,0,0,0,0,0,0,0,0,0,0,0,0.01308,0,0.000419224,0.000419224,0.000419224
16,206.96,0,0,0,0.06053,0,0,0,0,0,0,0,0,0,0,0,0,0.01181,0,0.00043586,0.00043586,0.00043586
17,219.684,0,0,0,0.05002,0,0,0,0,0,0,0,0,0,0,0,0,0.04568,0,0.000450912,0.000450912,0.000450912
18,231.793,0,0,0,0.03774,0,0,0,0,0,0,0,0,0,0,0,0,0.02862,0,0.00046438,0.00046438,0.00046438
19,244.313,0,0,0,0.03353,0,0,0,0,0,0,0,0,0,0,0,0,0.02804,0,0.000476264,0.000476264,0.000476264
20,255.991,0,0,0,0.02669,0,0,0,0,0,0,0,0,0,0,0,0,0.05684,0,0.000486564,0.000486564,0.000486564
21,267.694,0,0,0,0.02373,0,0,0,0,0,0,0,0,0,0,0,0,0.07914,0,0.00049528,0.00049528,0.00049528
22,279.482,0,0,0,0.02251,0,0,0,0,0,0,0,0,0,0,0,0,0.07624,0,0.000502412,0.000502412,0.000502412
23,291.08,0,0,0,0.0228,0,0,0,0,0,0,0,0,0,0,0,0,0.05196,0,0.00050796,0.00050796,0.00050796
24,302.32,0,0,0,0.01964,0,0,0,0,0,0,0,0,0,0,0,0,0.04806,0,0.000511924,0.000511924,0.000511924
25,314.619,0,0,0,0.01693,0,0,0,0,0,0,0,0,0,0,0,0,0.05823,0,0.000514304,0.000514304,0.000514304
26,326.896,0,0,0,0.01414,0,0,0,0,0,0,0,0,0,0,0,0,0.09306,0,0.0005151,0.0005151,0.0005151
